Time,portfolio
1,2000
2,2080
3,2476
4,2570
5,2640
6,2742
7,2827
8,2923
9,2857
10,2982
11,3126
12,3258
13,3390
14,3645
15,3783
16,3531
17,3667
18,3415
19,3160
20,3280
21,3116
22,2846
23,2746
24,2872
25,2982
26,3122
27,3314
28,3458
29,3638
30,3385
31,3589
32,3330
33,3828
34,4368
35,5223
36,5559
37,6899
38,7497
39,8065
40,9215
41,10655
42,11059
43,10344
44,11055
45,11295
46,11805
47,12345
48,12345
49,16389
50,15289
51,16186
52,15001
53,13882
54,12877
55,11609
56,12169
57,12587
58,13841
59,15065
60,14265
61,14754
62,13710
63,16776
64,16236
65,17806
66,16794
67,17242
68,19322
69,18319
70,18947
71,19577
72,21447
73,21111
74,21540
75,21756
76,23119
77,25094
78,25978
79,26950
80,28578
81,29471
82,30546
83,31421
84,32636
85,33756
86,35484
87,36632
88,37882
89,39002
90,40124
91,40988
92,39004
93,37002
94,34982
95,35982
96,34030
97,34700
98,32654
99,33662
100,33662
101,34497
102,35297
103,35752
104,36844
105,37416
106,38652
107,42288
108,43256
109,44129
110,44946
111,44253
112,45738
113,46557
114,47797
115,48557
116,46436
117,44306
118,42311
119,43207
120,44023
121,44863
122,45799
123,46759
124,47584